0	620982	534016	405356	358557	313503	536663	399408	419675	601096	636485	596811	398596	470555	216502	
620982	0	996877	610848	351843	313551	986486	588353	857405	1153300	277910	1088013	587541	873753	728399	
534016	996877	0	861316	655104	844795	212694	522837	249720	820162	937301	922700	522026	796443	583933	
405356	610848	861316	0	610688	302398	928137	782922	811149	664897	882280	542304	782110	264671	279384	
358557	351843	655104	610688	0	309074	626081	227948	497000	953621	275357	949337	227136	823081	569028	
313503	313551	844795	302398	309074	0	842913	545532	725924	845256	585150	779969	544720	565709	420355	
536663	986486	212694	928137	626081	842913	0	403671	130554	1035469	818135	1123846	402860	997589	743536	
399408	588353	522837	782922	227948	545532	403671	0	278060	999859	422471	995575	1335	869319	615266	
419675	857405	249720	811149	497000	725924	130554	278060	0	1013670	691925	1009386	276650	883129	629077	
601096	1153300	820162	664897	953621	845256	1035469	999859	1013670	0	1233055	159260	998527	404229	442907	
636485	277910	937301	882280	275357	585150	818135	422471	691925	1233055	0	1228343	422093	1140673	848033	
596811	1088013	922700	542304	949337	779969	1123846	995575	1009386	159260	1228343	0	993424	281939	437804	
398596	587541	522026	782110	227136	544720	402860	1335	276650	998527	422093	993424	0	868229	614176	
470555	873753	796443	264671	823081	565709	997589	869319	883129	404229	1140673	281939	868229	0	274862	
216502	728399	583933	279384	569028	420355	743536	615266	629077	442907	848033	437804	614176	274862	0	
